,ddag_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
242,la,0.0005389940177994022,l,a,0.03840472673559823,0.03840472673559823,14.044955555600861
243,lb,0.0006149153953120527,l,b,0.03840472673559823,0.03840472673559823,13.913175338001057
244,lc,0.00036744355077183505,l,c,0.03840472673559823,0.03840472673559823,14.428090324233116
245,ld,0.0004414076528473655,l,d,0.03840472673559823,0.03840472673559823,14.24469119640391
246,le,0.0003116536765194786,l,e,0.03840472673559823,0.03840472673559823,14.592767467610548
247,lf,0.00039402124824901443,l,f,0.03840472673559823,0.03840472673559823,14.358255190336047
248,lg,0.0005245807898848681,l,g,0.03840472673559823,0.03840472673559823,14.072060579578935
249,lh,0.0006038882920035471,l,h,0.03840472673559823,0.03840472673559823,13.931270793929848
250,li,0.0006465222037681154,l,i,0.03840472673559823,0.03840472673559823,13.863052485548124
251,lj,0.0004101069922409065,l,j,0.03840472673559823,0.03840472673559823,14.318241945405642
252,lk,0.0004277948160336577,l,k,0.03840472673559823,0.03840472673559823,14.27601634890436
253,ll,0.00025825742574281293,l,l,0.03840472673559823,0.03840472673559823,14.780703166073103
254,lm,0.0005486855904606624,l,m,0.03840472673559823,0.03840472673559823,14.027134445260202
255,ln,0.0005547568455735632,l,n,0.03840472673559823,0.03840472673559823,14.016130126083988
256,lo,0.0005961973097769541,l,o,0.03840472673559823,0.03840472673559823,13.944088358794938
257,lp,0.00046203522389792745,l,p,0.03840472673559823,0.03840472673559823,14.199018897367104
258,lq,0.0003690178531672122,l,q,0.03840472673559823,0.03840472673559823,14.42381500230876
259,lr,0.00039994009741040363,l,r,0.03840472673559823,0.03840472673559823,14.34334524832649
260,ls,0.0005617245946890898,l,s,0.03840472673559823,0.03840472673559823,14.003648343000686
261,lt,0.0003605290833720788,l,t,0.03840472673559823,0.03840472673559823,14.447087399178997
262,lu,0.00042762763213600297,l,u,0.03840472673559823,0.03840472673559823,14.276407229223532
263,lv,0.0005288497824406194,l,v,0.03840472673559823,0.03840472673559823,14.063955601353902
264,ma,0.000719902463648234,m,a,0.002133595929755457,0.002133595929755457,19.53628780785982
265,mb,0.0006957945732999155,m,b,0.002133595929755457,0.002133595929755457,19.5703490800748
266,mc,0.0005802969392403491,m,c,0.002133595929755457,0.002133595929755457,19.751863606799187
267,md,0.0004767093963721512,m,d,0.002133595929755457,0.002133595929755457,19.948496470231238
268,me,0.0005702654800208767,m,e,0.002133595929755457,0.002133595929755457,19.769301536716927
269,mf,0.00046452258733388154,m,f,0.002133595929755457,0.002133595929755457,19.974393359267676
270,mg,0.0007031695165816608,m,g,0.002133595929755457,0.002133595929755457,19.559805547677858
271,mh,0.0006842080798185084,m,h,0.002133595929755457,0.002133595929755457,19.58714146191722
272,mi,0.0005618306055401068,m,i,0.002133595929755457,0.002133595929755457,19.784203152708418
273,mj,0.0006357378043482258,m,j,0.002133595929755457,0.002133595929755457,19.660617322513588
274,mk,0.000452084474517596,m,k,0.002133595929755457,0.002133595929755457,20.00153449064216
275,ml,0.0005486855904606624,m,l,0.002133595929755457,0.002133595929755457,19.807877961052533
276,mm,0.0002661491830026215,m,m,0.002133595929755457,0.002133595929755457,20.531346553611822
277,mn,0.000730256195645874,m,n,0.002133595929755457,0.002133595929755457,19.522008118025777
278,mo,0.0006534966713818148,m,o,0.002133595929755457,0.002133595929755457,19.63306610401127
279,mp,0.0006838463120719857,m,p,0.002133595929755457,0.002133595929755457,19.587670341115444
280,mq,0.0006173913603032849,m,q,0.002133595929755457,0.002133595929755457,19.68990042524591
281,mr,0.00043494009023838846,m,r,0.002133595929755457,0.002133595929755457,20.04019524552418
282,ms,0.0007381443239697079,m,s,0.002133595929755457,0.002133595929755457,19.5112641771227
283,mt,0.0006118617711619841,m,t,0.002133595929755457,0.002133595929755457,19.69889715065141
284,mu,0.0005096105317278376,m,u,0.002133595929755457,0.002133595929755457,19.881756772837907
285,mv,0.00033929829348249685,m,v,0.002133595929755457,0.002133595929755457,20.288523901284684
286,na,0.00037243056709710906,n,a,0.008370260955194487,0.008370260955194487,17.461600369621827
287,nb,0.0004559406898875717,n,b,0.008370260955194487,0.008370260955194487,17.25928825799357
288,nc,0.0004163144761340147,n,c,0.008370260955194487,0.008370260955194487,17.3502100660941
289,nd,0.00048398675922484217,n,d,0.008370260955194487,0.008370260955194487,17.199593443643654
290,ne,0.0005416521115077796,n,e,0.008370260955194487,0.008370260955194487,17.087027058340478
291,nf,0.0005370160153309383,n,f,0.008370260955194487,0.008370260955194487,17.095623075240944
292,ng,0.00039395369867313546,n,g,0.008370260955194487,0.008370260955194487,17.405417606678263
293,nh,0.00046592787249877347,n,h,0.008370260955194487,0.008370260955194487,17.237620150912182
294,ni,0.0005849800684467481,n,i,0.008370260955194487,0.008370260955194487,17.010073217392385
295,nj,0.00045521962433068544,n,j,0.008370260955194487,0.008370260955194487,17.260870999682737
296,nk,0.0005198686044250018,n,k,0.008370260955194487,0.008370260955194487,17.128074897165142
297,nl,0.0005547568455735632,n,l,0.008370260955194487,0.008370260955194487,17.063121091350737
298,nm,0.000730256195645874,n,m,0.008370260955194487,0.008370260955194487,16.788255567500197
299,nn,0.00031879863554811535,n,n,0.008370260955194487,0.008370260955194487,17.617091326067708
300,no,0.00042770942671254363,n,o,0.008370260955194487,0.008370260955194487,17.323206937544395
301,np,0.0004499464073821093,n,p,0.008370260955194487,0.008370260955194487,17.272522512047008
302,nq,0.0005290083143092983,n,q,0.008370260955194487,0.008370260955194487,17.110646844247015
303,nr,0.000580295700767668,n,r,0.008370260955194487,0.008370260955194487,17.018113190480978
304,ns,0.0003742662300411543,n,s,0.008370260955194487,0.008370260955194487,17.456683603809754
305,nt,0.0005454629769675605,n,t,0.008370260955194487,0.008370260955194487,17.0800160599464
306,nu,0.000547413247595778,n,u,0.008370260955194487,0.008370260955194487,17.076446995756637
307,nv,0.0006796871190513478,n,v,0.008370260955194487,0.008370260955194487,16.860018419771844
308,oa,0.00045088871330779156,o,a,0.0068931560807484,0.0068931560807484,17.658742468256072
309,ob,0.0003562496180556949,o,b,0.0068931560807484,0.0068931560807484,17.894331362436606
310,oc,0.0005033752724001103,o,c,0.0068931560807484,0.0068931560807484,17.54862706157558
311,od,0.00047147728232725103,o,d,0.0068931560807484,0.0068931560807484,17.61409210268433
312,oe,0.0005821890425701802,o,e,0.0068931560807484,0.0068931560807484,17.403167811491514
313,of,0.0005309309274401453,o,f,0.0068931560807484,0.0068931560807484,17.49533108926413
314,og,0.0004839616648839196,o,g,0.0068931560807484,0.0068931560807484,17.58795732310005
315,oh,0.00037329335743184206,o,h,0.0068931560807484,0.0068931560807484,17.847598430314353
316,oi,0.00047877638349022404,o,i,0.0068931560807484,0.0068931560807484,17.59872937380016
317,oj,0.0004974542094496912,o,j,0.0068931560807484,0.0068931560807484,17.56045951083909
318,ok,0.0005038719624426038,o,k,0.0068931560807484,0.0068931560807484,17.5476408288701
319,ol,0.000596197309776954,o,l,0.0068931560807484,0.0068931560807484,17.379391352943603
320,om,0.0006534966713818148,o,m,0.0068931560807484,0.0068931560807484,17.287625582367607
321,on,0.0004277094267125436,o,n,0.0068931560807484,0.0068931560807484,17.71151896642631
322,oo,0.000298096818819921,o,o,0.0068931560807484,0.0068931560807484,18.072544692787332
323,op,0.00048259097892663797,o,p,0.0068931560807484,0.0068931560807484,17.59079356152928
324,oq,0.0005650505270489674,o,q,0.0068931560807484,0.0068931560807484,17.433047866341315
325,or,0.0005651302949843386,o,r,0.0068931560807484,0.0068931560807484,17.43290670674287
326,os,0.00044433282647267364,o,s,0.0068931560807484,0.0068931560807484,17.67338913110624
327,ot,0.0005781276733114914,o,t,0.0068931560807484,0.0068931560807484,17.410168289532166
328,ou,0.000506274458716204,o,u,0.0068931560807484,0.0068931560807484,17.54288409112735
329,ov,0.0006059809056390454,o,v,0.0068931560807484,0.0068931560807484,17.363114545168084
330,pa,0.00047043811504705294,p,a,0.005580173970129656,0.005580173970129656,18.03891678904128
331,pb,0.0005025993341577872,p,b,0.005580173970129656,0.005580173970129656,17.972787908915816
332,pc,0.0004400166539728188,p,c,0.005580173970129656,0.005580173970129656,18.1057686330947
333,pd,0.0005119613669208401,p,d,0.005580173970129656,0.005580173970129656,17.954332042269055
334,pe,0.0004376700758525526,p,e,0.005580173970129656,0.005580173970129656,18.111115834167123
335,pf,0.0004980019700690419,p,f,0.005580173970129656,0.005580173970129656,17.98197717625018
336,pg,0.000505391070985502,p,g,0.005580173970129656,0.005580173970129656,17.967248681653903
337,ph,0.0005113801598521876,p,h,0.005580173970129656,0.005580173970129656,17.955467942876897
338,pi,0.0006595148711335903,p,i,0.005580173970129656,0.005580173970129656,17.701076688222553
339,pj,0.00042206790750669434,p,j,0.005580173970129656,0.005580173970129656,18.147414989876573
340,pk,0.0005343954353568029,p,k,0.005580173970129656,0.005580173970129656,17.911445128665733
341,pl,0.00046203522389792734,p,l,0.005580173970129656,0.005580173970129656,18.056940078850186
342,pm,0.0006838463120719857,p,m,0.005580173970129656,0.005580173970129656,17.664848006806196
343,pn,0.0004499464073821092,p,n,0.005580173970129656,0.005580173970129656,18.083452728263335
344,po,0.00048259097892663797,p,o,0.005580173970129656,0.005580173970129656,18.013411748863696
345,pp,0.0003035512599373926,p,p,0.005580173970129656,0.005580173970129656,18.477030716986125
346,pq,0.0003938974847536679,p,q,0.005580173970129656,0.005580173970129656,18.216490524767092
347,pr,0.0005119065743105312,p,r,0.005580173970129656,0.005580173970129656,17.954439072889226
348,ps,0.00046773562923469207,p,s,0.005580173970129656,0.005580173970129656,18.044677967722137
349,pt,0.0004205443619357113,p,t,0.005580173970129656,0.005580173970129656,18.151031237316943
350,pu,0.0004508410975715599,p,u,0.005580173970129656,0.005580173970129656,18.08146626535452
351,pv,0.0006378419348671892,p,v,0.005580173970129656,0.005580173970129656,17.734490707571364
352,qa,0.0005351803231562216,q,a,0.03003446578040374,0.03003446578040374,14.54372621004344
353,qb,0.0005841175248804119,q,b,0.03003446578040374,0.03003446578040374,14.456227748962913
354,qc,0.00041177693127834826,q,c,0.03003446578040374,0.03003446578040374,14.805848178990516
355,qd,0.0004860983913808224,q,d,0.03003446578040374,0.03003446578040374,14.639918897967577
356,qe,0.00034215689341217067,q,e,0.03003446578040374,0.03003446578040374,14.991060568243483
357,qf,0.0004293903500513993,q,f,0.03003446578040374,0.03003446578040374,14.763963540685008
358,qg,0.0005565347809666747,q,g,0.03003446578040374,0.03003446578040374,14.504600284524953
359,qh,0.0005896249305279318,q,h,0.03003446578040374,0.03003446578040374,14.446843328998158
360,qi,0.0006831612074532766,q,i,0.03003446578040374,0.03003446578040374,14.299599092575868
361,qj,0.00043615955876677784,q,j,0.03003446578040374,0.03003446578040374,14.748321815902328
362,qk,0.0005023223570280832,q,k,0.03003446578040374,0.03003446578040374,14.607087893699607
363,ql,0.0003690178531672122,q,l,0.03003446578040374,0.03003446578040374,14.915484927341321
364,qm,0.0006173913603032849,q,m,0.03003446578040374,0.03003446578040374,14.400826834486141
365,qn,0.0005290083143092984,q,n,0.03003446578040374,0.03003446578040374,14.555325804012822
366,qo,0.0005650505270489676,q,o,0.03003446578040374,0.03003446578040374,14.489414797225209
367,qp,0.0003938974847536679,q,p,0.03003446578040374,0.03003446578040374,14.850239268316571
368,qq,0.00029828535862841014,q,q,0.03003446578040374,0.03003446578040374,15.128279345169622
369,qr,0.0004216713628399724,q,r,0.03003446578040374,0.03003446578040374,14.782103703177032
370,qs,0.0005507824910290298,q,s,0.03003446578040374,0.03003446578040374,14.51498997468439
371,qt,0.0003580738801460533,q,t,0.03003446578040374,0.03003446578040374,14.945590618545845
372,qu,0.00041024556721646303,q,u,0.03003446578040374,0.03003446578040374,14.809574027945297
373,qv,0.0005742115446000433,q,v,0.03003446578040374,0.03003446578040374,14.473332079755355
374,ra,0.000587676005770317,r,a,0.0027900869850648285,0.0027900869850648285,19.20269978490703
375,rb,0.0006118581776408108,r,b,0.0027900869850648285,0.0027900869850648285,19.16237505057244
376,rc,0.00041489285366360827,r,c,0.0027900869850648285,0.0027900869850648285,19.550855267396457
377,rd,0.0003847712510304301,r,d,0.0027900869850648285,0.0027900869850648285,19.626226565807702
378,re,0.0003949796889364916,r,e,0.0027900869850648285,0.0027900869850648285,19.60004122718373
379,rf,0.00033249396373617924,r,f,0.0027900869850648285,0.0027900869850648285,19.772253864594617
380,rg,0.0005866203171719523,r,g,0.0027900869850648285,0.0027900869850648285,19.204497778926324
381,rh,0.0006215811461527558,r,h,0.0027900869850648285,0.0027900869850648285,19.14660910291248
382,ri,0.0005706877053607182,r,i,0.0027900869850648285,0.0027900869850648285,19.232033436124404
383,rj,0.0005059306347346165,r,j,0.0027900869850648285,0.0027900869850648285,19.352475995963154
384,rk,0.0003983996592795098,r,k,0.0027900869850648285,0.0027900869850648285,19.591419899860867
385,rl,0.00039994009741040363,r,l,0.0027900869850648285,0.0027900869850648285,19.58756079092946
386,rm,0.00043494009023838846,r,m,0.0027900869850648285,0.0027900869850648285,19.503667272334823
387,rn,0.000580295700767668,r,n,0.0027900869850648285,0.0027900869850648285,19.215337767817196
388,ro,0.0005651302949843386,r,o,0.0027900869850648285,0.0027900869850648285,19.241819255197175
389,rp,0.0005119065743105312,r,p,0.0027900869850648285,0.0027900869850648285,19.340733434009117
390,rq,0.0004216713628399724,r,q,0.0027900869850648285,0.0027900869850648285,19.53464932074744
391,rr,0.00018004209438412632,r,r,0.0027900869850648285,0.0027900869850648285,20.385684889109477
392,rs,0.0006075509494873278,r,s,0.0027900869850648285,0.0027900869850648285,19.169439531181954
393,rt,0.00044012623106617953,r,t,0.0027900869850648285,0.0027900869850648285,19.49181399579447
394,ru,0.00038112461723060153,r,u,0.0027900869850648285,0.0027900869850648285,19.635749169355506
395,rv,0.0003672585759280666,r,v,0.0027900869850648285,0.0027900869850648285,19.672809403823265
396,sa,0.00041111576358160277,s,a,0.008534383719021828,0.008534383719021828,17.32393998324623
397,sb,0.00047477735571746634,s,b,0.008534383719021828,0.008534383719021828,17.17996885195491
398,sc,0.0004589922947737023,s,c,0.008534383719021828,0.008534383719021828,17.213781398364166
399,sd,0.0005209837094925529,s,d,0.008534383719021828,0.008534383719021828,17.0870960478025
400,se,0.0005675529547002787,s,e,0.008534383719021828,0.008534383719021828,17.00148076404898
401,sf,0.0005711343253439981,s,f,0.008534383719021828,0.008534383719021828,16.995190393522012
402,sg,0.0003919636437099476,s,g,0.008534383719021828,0.008534383719021828,17.37164573144698
403,sh,0.0004576989150467109,s,h,0.008534383719021828,0.008534383719021828,17.21660324408796
404,si,0.0005935896044943166,s,i,0.008534383719021828,0.008534383719021828,16.95662664224293
405,sj,0.0004538283872610862,s,j,0.008534383719021828,0.008534383719021828,17.22509569634525
406,sk,0.0005321107526410433,s,k,0.008534383719021828,0.008534383719021828,17.06596317196746
407,sl,0.0005617245946890897,s,l,0.008534383719021828,0.008534383719021828,17.011803136553237
408,sm,0.0007381443239697079,s,m,0.008534383719021828,0.008534383719021828,16.73867545488292
409,sn,0.0003742662300411543,s,n,0.008534383719021828,0.008534383719021828,17.417847432095552
410,so,0.0004443328264726736,s,o,0.008534383719021828,0.008534383719021828,17.246240930510126
411,sp,0.00046773562923469207,s,p,0.008534383719021828,0.008534383719021828,17.194911579791608
412,sq,0.0005507824910290298,s,q,0.008534383719021828,0.008534383719021828,17.03147484320438
413,sr,0.0006075509494873278,s,r,0.008534383719021828,0.008534383719021828,16.93337878213153
414,ss,0.00032941726107571203,s,s,0.008534383719021828,0.008534383719021828,17.54548960336217
415,st,0.0005453469823289876,s,t,0.008534383719021828,0.008534383719021828,17.0413925643964
416,su,0.0005519955702942144,s,u,0.008534383719021828,0.008534383719021828,17.029274799882835
417,sv,0.0006893337235021171,s,v,0.008534383719021828,0.008534383719021828,16.807089308329484
418,ta,0.0005546809687066167,t,a,0.013293943870014771,0.013293943870014771,16.13801083180797
419,tb,0.000604105399404433,t,b,0.013293943870014771,0.013293943870014771,16.05265526408011
420,tc,0.0004369945440920936,t,c,0.013293943870014771,0.013293943870014771,16.37648323901385
421,td,0.0005070698941366361,t,d,0.013293943870014771,0.013293943870014771,16.227755096769112
422,te,0.00038139248144615127,t,e,0.013293943870014771,0.013293943870014771,16.5125749691854
423,tf,0.0004601830239976184,t,f,0.013293943870014771,0.013293943870014771,16.324779660510117
424,tg,0.0005531378518932911,t,g,0.013293943870014771,0.013293943870014771,16.140796698562802
425,th,0.0005938979983455494,t,h,0.013293943870014771,0.013293943870014771,16.069696364456288
426,ti,0.0006799420584672334,t,i,0.013293943870014771,0.013293943870014771,15.934396362713073
427,tj,0.0004372382242170799,t,j,0.013293943870014771,0.013293943870014771,16.375925767044986
428,tk,0.0004990479480927624,t,k,0.013293943870014771,0.013293943870014771,16.24370176961881
429,tl,0.0003605290833720788,t,l,0.013293943870014771,0.013293943870014771,16.568831320549524
430,tm,0.0006118617711619841,t,m,0.013293943870014771,0.013293943870014771,16.039897556229604
431,tn,0.0005454629769675605,t,n,0.013293943870014771,0.013293943870014771,16.154769016050174
432,to,0.0005781276733114914,t,o,0.013293943870014771,0.013293943870014771,16.096609216754022
433,tp,0.00042054436193571113,t,p,0.013293943870014771,0.013293943870014771,16.41485397720439
434,tq,0.0003580738801460534,t,q,0.013293943870014771,0.013293943870014771,16.57566461488381
435,tr,0.00044012623106617953,t,r,0.013293943870014771,0.013293943870014771,16.369342374562027
436,ts,0.0005453469823289877,t,s,0.013293943870014771,0.013293943870014771,16.154981692214378
437,tt,0.0003256914703385664,t,t,0.013293943870014771,0.013293943870014771,16.670453425882787
438,tu,0.00041321803257290463,t,u,0.013293943870014771,0.013293943870014771,16.432428571552816
439,tv,0.0005676105433912751,t,v,0.013293943870014771,0.013293943870014771,16.114968428613174
440,ua,0.0005519365854396054,u,a,0.0013129821106187428,0.0013129821106187428,20.772986016873865
441,ub,0.0004967739459603282,u,b,0.0013129821106187428,0.0013129821106187428,20.878284089576688
442,uc,0.00045753500897315,u,c,0.0013129821106187428,0.0013129821106187428,20.960565770968017
443,ud,0.0004387626263320999,u,d,0.0013129821106187428,0.0013129821106187428,21.002460622770695
444,ue,0.00042465523032317277,u,e,0.0013129821106187428,0.0013129821106187428,21.035141558165428
445,uf,0.00033927706875684226,u,f,0.0013129821106187428,0.0013129821106187428,21.259602089571604
446,ug,0.0005698949606121842,u,g,0.0013129821106187428,0.0013129821106187428,20.74096711088232
447,uh,0.0004888707467541892,u,h,0.0013129821106187428,0.0013129821106187428,20.894321042131896
448,ui,0.000559950946930126,u,i,0.0013129821106187428,0.0013129821106187428,20.758569989976674
449,uj,0.0004496702258809139,u,j,0.0013129821106187428,0.0013129821106187428,20.977904692365144
450,uk,0.0004461567771613633,u,k,0.0013129821106187428,0.0013129821106187428,20.98574876655059
451,ul,0.00042762763213600297,u,l,0.0013129821106187428,0.0013129821106187428,21.028166376579264
452,um,0.0005096105317278376,u,m,0.0013129821106187428,0.0013129821106187428,20.852772404401307
453,un,0.000547413247595778,u,n,0.0013129821106187428,0.0013129821106187428,20.781215177845617
454,uo,0.000506274458716204,u,o,0.0013129821106187428,0.0013129821106187428,20.859340244334412
455,up,0.0004508410975715599,u,p,0.0013129821106187428,0.0013129821106187428,20.975304231227174
456,uq,0.00041024556721646303,u,q,0.0013129821106187428,0.0013129821106187428,21.069663250268466
457,ur,0.00038112461723060153,u,r,0.0013129821106187428,0.0013129821106187428,21.143292774108268
458,us,0.0005519955702942144,u,s,0.0013129821106187428,0.0013129821106187428,20.772879153686016
459,ut,0.00041321803257290463,u,t,0.0013129821106187428,0.0013129821106187428,21.06244379753802
460,uu,0.00015133973151129458,u,u,0.0013129821106187428,0.0013129821106187428,22.066891987913078
461,uv,0.0004443890024360861,u,v,0.0013129821106187428,0.0013129821106187428,20.989718864635833
462,va,0.0006860593746052207,v,a,0.0019694731659281144,0.0019694731659281144,19.744524783002124
463,vb,0.0006589233965373544,v,b,0.0019694731659281144,0.0019694731659281144,19.78488167311608
464,vc,0.0005478824600309473,v,c,0.0019694731659281144,0.0019694731659281144,19.96942818393792
465,vd,0.0004501838869136235,v,d,0.0019694731659281144,0.0019694731659281144,20.165832822004667
466,ve,0.0005479268079315416,v,e,0.0019694731659281144,0.0019694731659281144,19.96934724302619
467,vf,0.00042776620539565903,v,f,0.0019694731659281144,0.0019694731659281144,20.21691216162741
468,vg,0.0006707987301354146,v,g,0.0019694731659281144,0.0019694731659281144,19.767019821997906
469,vh,0.0006523082579228942,v,h,0.0019694731659281144,0.0019694731659281144,19.79497172046245
470,vi,0.0005255157008843558,v,i,0.0019694731659281144,0.0019694731659281144,20.011108891023433
471,vj,0.0006093036934568044,v,j,0.0019694731659281144,0.0019694731659281144,19.863172139845798
472,vk,0.00043505745247148815,v,k,0.0019694731659281144,0.0019694731659281144,20.200010861870567
473,vl,0.0005288497824406194,v,l,0.0019694731659281144,0.0019694731659281144,20.004784532493304
474,vm,0.00033929829348249685,v,m,0.0019694731659281144,0.0019694731659281144,20.448609316631757
475,vn,0.0006796871190513478,v,n,0.0019694731659281144,0.0019694731659281144,19.753856385644493
476,vo,0.0006059809056390454,v,o,0.0019694731659281144,0.0019694731659281144,19.86864048215882
477,vp,0.0006378419348671892,v,p,0.0019694731659281144,0.0019694731659281144,19.817398457227686
478,vq,0.0005742115446000433,v,q,0.0019694731659281144,0.0019694731659281144,19.922491085862198
479,vr,0.0003672585759280666,v,r,0.0019694731659281144,0.0019694731659281144,20.3694227923597
480,vs,0.0006893337235021171,v,s,0.0019694731659281144,0.0019694731659281144,19.73976344591634
481,vt,0.0005676105433912751,v,t,0.0019694731659281144,0.0019694731659281144,19.93405343838205
482,vu,0.0004443890024360861,v,u,0.0019694731659281144,0.0019694731659281144,20.178788648419506
483,vv,0.00020091654010982211,v,v,0.0019694731659281144,0.0019694731659281144,20.972599360389484
